,tweet,clean_tweet,hastags,attherate,urls,emojis,label
33,01.04.2021 Recently #Covid+ve cases in India has shown declining trend.But past few days witnessed rise in cases;in last 24hrs rose by 72330 much higher than y'day. Total cases today:12221765; recovery so far-11474683 (93.89%); fatalities-162927 (1.33%)&amp; active - 584055 (4.78%),recent case india show declin trendbut past day wit rise casesin rise higher yday total case today recoveri far fatal activ ,['#Covid+ve'],[],[],[],0
51,@Asad_Umar Please close Schools And Colleges in Chiniot And Jhang as Covid Cases are increasing day by day.... People are not following any Sops....No social distancing. @Shafqat_Mahmood  @DrMuradPTI  @NCOC_Official @Asad_Umar,close school colleg chiniot jhang covid case increas day day peopl follow sopsno social distanc ,[],"['@Asad_Umar', '@Shafqat_Mahmood', '@DrMuradPTI', '@NCOC_Official', '@Asad_Umar']",[],[],0
53,@_VIDHUSHAK Covid,covid ,[],['@_VIDHUSHAK'],[],[],0
54,"Total Covid Cases till date :  US : 31,175,882  Brazil : 12,753,258 India : 12,753,258  and CHINA : 90,217  Source : Worldometer !   And apparently it all started in Wuhan  #WuhanVirus",total covid case till date brazil india china sourc worldomet appar start wuhan ,['#WuhanVirus'],[],[],[],0
70,Despite increase in covid-19 cases. Youth services and sports Pulwama  is organising programs which involve gathering. Such programs should be called off right now. Many schools have been closed after covid-19 cases reported.,despit increas covid case youth servic sport pulwama organis program involv gather program call school close covid case report ,[],[],[],[],0
92,"#Maharashtra reports 43,183 new Covid cases &amp; 249 deaths. New high.  #Mumbai - 8646, #Pune (PMC) - 4109, Pune (PCMC) - 2058, #Nagpur - 1109, Nagpur MC - 2587, #Nashik MC - 1781 #PuneFightsCorona #MaharashtraFightsCorona",report new covid case death new high pmc pune pcmc nagpur ,"['#Maharashtra', '#Mumbai', '#Pune', '#Nagpur', '#Nashik', '#PuneFightsCorona', '#MaharashtraFightsCorona']",[],[],[],0
98,@narendramodi What about COVID-19 increase cases is anyone here @sudhirchaudhary @anjanaomkashyap @navikakumar @SureshChavhanke @AMISHDEVGAN @RubikaLiyaquat @DChaurasia2312 @sardanarohit @yogrishiramdev @AnupamPKher @chitraaum @SwetaSinghAT @RajatSharmaLive @ArnabGoswamiRTv @KanganaTeam  Godi,covid increas case godi ,[],"['@narendramodi', '@sudhirchaudhary', '@anjanaomkashyap', '@navikakumar', '@SureshChavhanke', '@AMISHDEVGAN', '@RubikaLiyaquat', '@DChaurasia2312', '@sardanarohit', '@yogrishiramdev', '@AnupamPKher', '@chitraaum', '@SwetaSinghAT', '@RajatSharmaLive', '@ArnabGoswamiRTv', '@KanganaTeam']",[],[],0
99,Our PM fighting with COVID-19 increasing cases not alone even with his supporters as well  Wah modi ji wah   #ModiElectionjivi,fight covid increas case support wah modi wah ,['#ModiElectionjivi'],[],[],[],0
108,"There are 36 States ( Including Union Territories ) in India 🇮🇳!  From Last 18 Months one State Full Of Controversy From - Highest Covid Cases , Highest Corruption #100CroreKiVasooli  ,Mob lynching, Worst Law And Order, Sushant Mystery, Fake TRP Case , Cm VS Kangana &amp; Many More !",state includ union territori india month state controversi highest covid case highest corrupt mob lynch worst law order sushant mysteri fake trp case kangana ,['#100CroreKiVasooli'],[],[],['🇮🇳'],0
152,"Have got stories commissioned but that requires travel and I feel scared that lockdown may get in force in view of rising Covid cases. That's the life of a freelance reporter. No security, nothing. Sometimes being driven by passion takes toll on you personally.",stori commiss requir travel feel scar lockdown forc view rise covid case that life freelanc report secur driven passion toll person ,[],[],[],[],0
