,tweet,clean_tweet,hastags,attherate,urls,emojis,label
23,People asking each other after getting vaccinated 😁   #COVIDVaccination #COVID19 #COVID19Vic #CoronaVaccine #coronavirus  https://t.co/w2532Bzxle,peopl ask vaccin ,"['#COVIDVaccination', '#COVID19', '#COVID19Vic', '#CoronaVaccine', '#coronavirus']",[],['https://t.co/w2532Bzxle'],['😁'],0
39,2nd dose of #Covaxin for full protection against #Covid_19. ✌️  Both vaccines are safe and effective against all variants of #coronavirus. All should get themselves jabbed &amp; keep their family safe against the pandemic. 👍👍  https://t.co/4zRFmze5hI,dose protect vaccin safe effect variant jab famili safe pandem ,"['#Covaxin', '#Covid_19.', '#coronavirus.']",[],['https://t.co/4zRFmze5hI'],"['✌️', '👍', '👍']",0
47,"If PM modi keep her photo on covid vaccine certificate, so should be keep her photo on death certificate as well.   If you want the benefits from vaccine drive, so take the responsibility for the deaths as well.  @narendramodi #CoronaSecondWave #CoronaVaccination  #coronavirus  https://t.co/RmU7fp2fgE",modi photo covid vaccin certif photo death certif benefit vaccin drive respons death ,"['#CoronaSecondWave', '#CoronaVaccination', '#coronavirus']",['@narendramodi'],['https://t.co/RmU7fp2fgE'],[],0
50,"The Corona virus vaccine will help to protect you,your family and communities from the disease.... please Get yourself vaccinated as per our turn...  https://t.co/AX11nvLG6N",corona viru vaccin help protect youyour famili commun diseas vaccin turn ,[],[],['https://t.co/AX11nvLG6N'],[],0
52,@timesofindia You mean COVID “Vaccine” Jab right! Unless someone is injecting another with a coronavirus!  https://t.co/PAA3iIeNk6,mean covid vaccin jab inject coronaviru ,[],['@timesofindia'],['https://t.co/PAA3iIeNk6'],[],0
74,People Searching Corona Vaccines! UNION &amp; States Govts Should Arrange Many Vaccines Centres in Each and Every VILLAGES to Control  Corona Virus &amp; also Crowds and Must Confirm Normal life of People! Pre Plans are Required! By.Rajendran.  https://t.co/Wgl89lyGoj Follow Action Ple.  https://t.co/IBKHn5SY9x,peopl search corona vaccin union state govt arrang vaccin centr villag control corona viru crowd confirm normal life peopl pre plan requir byrajendran follow action ple ,[],[],"['https://t.co/Wgl89lyGoj', 'https://t.co/IBKHn5SY9x']",[],0
81,"Yes, 35% of Islamabad's population is #vaccinated  The coronavirus vaccination drive in the federal capital is moving ahead effectively as 425,000 people out of a target of 1.2 million in the territory have been vaccinated so far 👇  https://t.co/ZQVW5hZZUR",islamabad popul coronaviru vaccin drive feder capit move ahead effect peopl target million territori vaccin far ,['#vaccinated'],[],['https://t.co/ZQVW5hZZUR'],['👇'],0
83,"It's an important course correction...Hope all Indians get vaccinated and it's important to know that eventhough he has spoken late ,@narendramodi is doing the right thing...      It's time for Indians to stand united and get vaccinated against #CoronaVirus...",import cours correctionhop indian vaccin import eventhough spoken late thing time indian stand unit vaccin ,['#CoronaVirus...'],[],[],[],0
94,When will kids have a coronavirus vaccine ready? | The Times of India  https://t.co/1c00oufxTV.. #coronavirus #CoronaVirusUpdates #corona #COVID19Vaccines #covid #kids #kidsvaccine,kid coronaviru vaccin readi time india ,"['#coronavirus', '#CoronaVirusUpdates', '#corona', '#COVID19Vaccines', '#covid', '#kids', '#kidsvaccine']",[],['https://t.co/1c00oufxTV..'],[],0
99,List of all COVID-19 vaccines being made and manufactured in India | The Times of India  https://t.co/KR6HussYcO.. #covid #CovidVaccine #coronavirus #corona,list covid vaccin manufactur india time india ,"['#covid', '#CovidVaccine', '#coronavirus', '#corona']",[],['https://t.co/KR6HussYcO..'],[],0
114,Which COVID VACCINE you prefer? #COVID19 #vaccine #Covishield #Covaxin #SputnikV #CovidVaccine #CoronaPandemic #coronavirus,covid vaccin prefer ,"['#COVID19', '#vaccine', '#Covishield', '#Covaxin', '#SputnikV', '#CovidVaccine', '#CoronaPandemic', '#coronavirus']",[],[],[],0
115,"Union Health Ministry caps charges for administration of Covishield at Rs 780, Covaxin at Rs 1,410, and Sputnik V at Rs 1,145 in private hospitals, based on the prices currently declared by vaccine manufacturers. #COVID19 #Covishield #coronavirus #CovidVaccine",union health ministri cap charg administr covishield covaxin sputnik privat hospit base price current declar vaccin manufactur ,"['#COVID19', '#Covishield', '#coronavirus', '#CovidVaccine']",[],[],[],0
125,Coronavirus: G7 plans 1 billion extra vaccine shots to end pandemic in 2022  https://t.co/u2vCVKGoX9,coronaviru plan billion extra vaccin shot end pandem ,[],[],['https://t.co/u2vCVKGoX9'],[],0
148,"Covid-19 Vaccination should be done door to door ,Not at center level this will lead preservation and complete use of vaccine doses.#Narendermodi #AshokGehlot #IndiaFightsCorana  #coronavirus",covid vaccin door door center level lead preserv complet vaccin ,"['#AshokGehlot', '#IndiaFightsCorana', '#coronavirus']",[],[],[],0
157,"@narendramodi_in @AmitShah (corona virus vaccines should be given to everyone at their home to enable vaccines to reach everyone thru asha workers.if there is a will,there is a way)",corona viru vaccin give home enabl vaccin reach asha workersif willther way ,[],"['@narendramodi_in', '@AmitShah']",[],[],0
181,"Coronavirus Update: CureVac’s vaccine disappoints in major trial, says it was poor match against 29 COVID variants  https://t.co/jIKXYN5fGS #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru updat curevac vaccin disappoint major trial poor match covid variant ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/jIKXYN5fGS'],[],0
