,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet
0,1.36797e+18,1.36797e+18,2021-03-06 04:18:30 India Standard Time,06-03-21,04:18:30,530,1.21176e+18,cpa_cfc,Sarfraz Khan,,#BREAKING   #SaudiArabia #COVID19,und,[],[],[],0,0,0,"['breaking', 'saudiarabia', 'covid19']",[],https://twitter.com/cpa_cfc/status/1367970303717089286,False
1,1.36797e+18,1.36797e+18,2021-03-06 04:05:23 India Standard Time,06-03-21,04:05:23,530,75521696.0,svmurthy,le changement est certain,,India vaccinating approx 1.5 million/day !  Is it not at a slow process ?  #COVID19,en,[],[],[],1,0,0,['covid19'],[],https://twitter.com/svmurthy/status/1367966999951732738,False
2,1.36795e+18,1.36795e+18,2021-03-06 02:56:29 India Standard Time,06-03-21,02:56:29,530,7.41755e+17,drwaheedmiraj,Waheed Miraj,,COVID-19: A different variant and poor response by the government leaves Brazil in a state of uncontrolled large scale community transmission.  https://t.co/UacZXgvxHa,en,[],['https://www.bloomberg.com/news/features/2021-03-05/coronavirus-crisis-in-brazil-deepens-as-covid-variant-spreads-and-deaths-spike'],[],0,2,2,[],[],https://twitter.com/DrWaheedMiraj/status/1367949664125935617,False
3,1.36795e+18,1.36795e+18,2021-03-06 02:44:51 India Standard Time,06-03-21,02:44:51,530,1.07457e+18,tanmoyc89154303,Tanmoy Chatterjee,,"@MoHFW_INDIA @PMOIndia @narendramodi @drharshvardhan Sir,I have got my 1st dose of Covid19 vaccine today but I'm unable to download certificate. Kindly help. Says,""invalid Beneficiary ID"".  https://t.co/RLbkoR9kqK",en,"[{'screen_name': 'pmoindia', 'name': 'pmo india', 'id': '471741741'}, {'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}, {'screen_name': 'drharshvardhan', 'name': 'dr harsh vardhan', 'id': '77732185'}]",[],['https://pbs.twimg.com/media/EvvsTiEVIAMWZrB.jpg'],0,0,0,[],[],https://twitter.com/TanmoyC89154303/status/1367946734823825408,False
4,1.36795e+18,1.36795e+18,2021-03-06 02:39:18 India Standard Time,06-03-21,02:39:18,530,75521696.0,svmurthy,le changement est certain,,Bharat Biotech begins nasal Covid vaccine trials in India with 175 volunteers during 1 phase of clinical trials. #COVID19 #CovidVaccine  https://t.co/2ZrMwrfRPb,en,[],['https://www.thehansindia.com/news/cities/hyderabad/bharat-biotech-begins-nasal-covid-vaccine-trials-in-hyderabad-675501'],[],0,0,0,"['covid19', 'covidvaccine']",[],https://twitter.com/svmurthy/status/1367945339676753921,False
5,1.36794e+18,1.36736e+18,2021-03-06 02:19:34 India Standard Time,06-03-21,02:19:34,530,1.02167e+18,pgagarwal1,P. G. Agarwal,,"@Sakina_Qureshi_ @YOUSUF_AZAZ Sakina Qureshi: The Government wants that people should be vegetarian.During Kovid-19, it has been found world over that the  vegetarian people  did not suffer from Covid-19. To cook vegetables,less gas is required but for non-vage,more gas is required. Here also you get benefits",en,[],[],[],0,0,0,[],[],https://twitter.com/PGAgarwal1/status/1367940372542844934,False
6,1.36794e+18,1.36794e+18,2021-03-06 02:13:54 India Standard Time,06-03-21,02:13:54,530,7.32088e+17,sudhanshugarg6,Sudhanshu Garg,,"इंसान के रूप में फ़रिश्ता हैं माननीय मोदीजी 🙏🕉️🇮🇳🕉️🌷🇮🇳 जयभारतवर्ष 🇮🇳 वंदेमातरम 🇮🇳  African, Caribbean nations support India at WTO on COVID-19 vaccine supplies  https://t.co/A88tK7UTje  via NaMo App  https://t.co/Fo2XKeo1Oj",und,[],['https://www.thehindu.com/news/international/african-caribbean-nations-support-india-at-wto-on-covid-19-vaccine-supplies/article33988670.ece'],['https://pbs.twimg.com/media/EvvlOOuVkAAlrYJ.jpg'],0,0,0,[],[],https://twitter.com/SudhanshuGarg6/status/1367938947498737666,False
7,1.36794e+18,1.36792e+18,2021-03-06 01:58:30 India Standard Time,06-03-21,01:58:30,530,1.33433e+18,srisirisirirac2,Srisiri Sirirachatakool,,@sirotek #WhatsHappeningInMyanmar  #SaveMyanmar #March5th ณ วันนี้ หลังการแพร่ระบาดของเชื้อไวรัส #COVID19  ทุกประเทศทั่วโลก ได้รับผลกระทบอย่างมาก ครับ จึงไม่มีประเทศไหน กล้าเสนอหน้า อย่างเต็มตัว ที่จะ มาจัดระเบียบภายใน ประเทศเมียนมาร์ ครับ ในโลกแห่งความเป็นจริง ณ วันนี้ ตัวใคร ตัวมัน ครับ  https://t.co/JfeAuE6GKI,th,[],[],['https://pbs.twimg.com/media/EvvhsLeVgAAceeL.jpg'],0,1,0,"['whatshappeninginmyanmar', 'savemyanmar', 'march5th', 'covid19']",[],https://twitter.com/SrisiriSirirac2/status/1367935072637046786,False
8,1.36793e+18,1.36793e+18,2021-03-06 01:55:59 India Standard Time,06-03-21,01:55:59,530,7.32088e+17,sudhanshugarg6,Sudhanshu Garg,,Hats off to our Beloved Great PM🙏🕉️🇮🇳🌷  World leaders thank PM Narendra Modi as India sends COVID-19 vaccines to 47 countries  https://t.co/yU7yHxZboI via NaMo App  https://t.co/rAZEnOJGux,en,[],['https://zeenews.india.com/india/world-leaders-thank-pm-narendra-modi-as-india-sends-covid-vaccines-to-47-countries-2345750.html'],['https://pbs.twimg.com/media/EvvhHuvVoAA5Cpc.jpg'],0,0,0,[],[],https://twitter.com/SudhanshuGarg6/status/1367934437531348993,False
9,1.36793e+18,1.36793e+18,2021-03-06 01:51:21 India Standard Time,06-03-21,01:51:21,530,2435620488.0,azademokhtari,Azadeh Mokhtari,,چه خوبه از اینا بسازید لطفا #COVID19  https://t.co/MsER4NbA4W,fa,[],[],[],1,1,24,['covid19'],[],https://twitter.com/AzadeMokhtari/status/1367933271376617477,False
