,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1410713966372790272,1410713966372790272,2021-07-02 03:06:34 India Standard Time,2021-07-02,03:06:34,530,2300776117,healthbimaagent,Praveen Gupta,,#insurance #healthinsurance #mediclaim #coronavirus #Corona #hospital #Delhi #noida #gurugram #Gurgaon #Ghaziabad #Faridabad  https://t.co/zdhcFwZf0f,und,[],[],['https://pbs.twimg.com/media/E5Pc3_-VgAQvnpO.jpg'],0,1,1,"['insurance', 'healthinsurance', 'mediclaim', 'coronavirus', 'corona', 'hospital', 'delhi', 'noida', 'gurugram', 'gurgaon', 'ghaziabad', 'faridabad']",[],https://twitter.com/HealthBimaAgent/status/1410713966372790272,False,,1,https://pbs.twimg.com/media/E5Pc3_-VgAQvnpO.jpg,India,,,,,,[],,,,
1,1410652101533868035,1410652099516329985,2021-07-01 23:00:44 India Standard Time,2021-07-01,23:00:44,530,4319690653,pushpraj012,PUSHP RAJ,,28th Dec 2020 and still not has been completed and no one knows when will they conduct CBT-2.Sir the main question is that why did they wasted the first 9 months(April 2019-Dec 2019) after the completion of filling of the forms?Remember Sir the very girst case of coronavirus was,en,[],[],[],1,0,0,[],[],https://twitter.com/pushpraj012/status/1410652101533868035,False,,0,,India,,,,,,[],,,,
2,1410644349944168451,1410644349944168451,2021-07-01 22:29:56 India Standard Time,2021-07-01,22:29:56,530,1137315913,tusharmahale08,Tushar Mahale,,"राज्यात आज 9,195 कोरोना बाधीत रुग्णांची वाढ झाली. आज नवीन 8,634  कोरोना बाधित रुग्ण बरे झाले. एकूण 58,28,535 रुग्ण बरे होऊन  घरी , राज्यात  एकूण 1,16,667  ऍक्टिव्ह रुग्ण राज्यातील रुग्ण बरे होण्याचे प्रमाण आता  96.01% #maharashtranews #Maharashtra #coronavirus",mr,[],[],[],0,0,2,"['maharashtranews', 'maharashtra', 'coronavirus']",[],https://twitter.com/tusharmahale08/status/1410644349944168451,False,,0,,India,,,,,,[],,,,
3,1410638362508075012,1410638362508075012,2021-07-01 22:06:08 India Standard Time,2021-07-01,22:06:08,530,890979056367407105,shekhargnikam99,Shekhar G Nikam,,"Let us thank our saviors for all their tireless hardwork during this coronavirus pandemic and also for their outstanding service to mankind.  On the occasion of Doctor's Day, I wished all the doctors of my #265ChiplunSangameshwarVidhansabhaConstituency  https://t.co/lqAMx9RaTV",en,[],[],"['https://pbs.twimg.com/media/E5OYGAfVUAEvxf3.jpg', 'https://pbs.twimg.com/media/E5OYGAjVEAETqEj.jpg', 'https://pbs.twimg.com/media/E5OYGApVcAMyDry.jpg', 'https://pbs.twimg.com/media/E5OYGA2VgAohb6N.jpg']",1,0,9,['265chiplunsangameshwarvidhansabhaconstituency'],[],https://twitter.com/ShekharGNikam99/status/1410638362508075012,False,,1,https://pbs.twimg.com/media/E5OYGAfVUAEvxf3.jpg,India,,,,,,[],,,,
4,1410637633567399940,1410637633567399940,2021-07-01 22:03:14 India Standard Time,2021-07-01,22:03:14,530,1376608883490258948,shreyansh_saraf,Shreyansh Rajesh Saraf,,@NCPspeaks @NscspeaksMh  @NCPYouth_Nashik @NashikNcp   #corona #CoronavirusPandemic #coronavirus #CoronaVaccine #IndiaFightsCorona #maharashtralockdown #COVID19 #DoctorsDay #DeltaVariante  https://t.co/bE6kNnqjOk,und,"[{'screen_name': 'nscspeaksmh', 'name': 'nationalist student congress -maharashtra pradesh', 'id': '1343211190411907072'}, {'screen_name': 'ncpyouth_nashik', 'name': 'ncp youth nashik district', 'id': '1410446723558744065'}, {'screen_name': 'nashikncp', 'name': 'ncp nashik', 'id': '1100301397189251072'}]",[],['https://pbs.twimg.com/media/E5OXckQVUAImPUS.jpg'],0,0,0,"['corona', 'coronaviruspandemic', 'coronavirus', 'coronavaccine', 'indiafightscorona', 'maharashtralockdown', 'covid19', 'doctorsday', 'deltavariante']",[],https://twitter.com/shreyansh_saraf/status/1410637633567399940,False,,1,https://pbs.twimg.com/media/E5OXckQVUAImPUS.jpg,India,,,,,,[],,,,
5,1410636251510706180,1410636251510706180,2021-07-01 21:57:45 India Standard Time,2021-07-01,21:57:45,530,777138742234648576,tweetingsam_,Samyak Jain,,Its all laughable atm. Sigh...#coronavirus  https://t.co/SIOgDsL3O8,en,[],[],['https://pbs.twimg.com/media/E5OWMZhVoAYmw6O.jpg'],0,0,0,['coronavirus'],[],https://twitter.com/TweetingSam_/status/1410636251510706180,False,,1,https://pbs.twimg.com/media/E5OWMZhVoAYmw6O.jpg,India,,,,,,[],,,,
6,1410629897077202946,1410629897077202946,2021-07-01 21:32:30 India Standard Time,2021-07-01,21:32:30,530,747395070484045824,lpsahi,Lokendra Pratap Sahi,,"Really liked this programme @sardesairajdeep ... Best quote from 1 of the lady doctors: ""Life is fickle."" Terrific quote by her on God, too... While we should celebrate #DoctorsDay2021, there must also be a Day for #India to remember all the #coronavirus victims... It's needed.",en,"[{'screen_name': 'sardesairajdeep', 'name': 'rajdeep sardesai', 'id': '56304605'}]",[],[],2,1,14,"['doctorsday2021', 'india', 'coronavirus']",[],https://twitter.com/lpsahi/status/1410629897077202946,False,https://twitter.com/IndiaToday/status/1410625841902473218,0,,India,,,,,,[],,,,
7,1410629866865807367,1410629866865807367,2021-07-01 21:32:23 India Standard Time,2021-07-01,21:32:23,530,318935733,aliraza_rind,Ali Raza Rind,,#SaindakProject has resumed production after an extraordinary shutdown owing to coronavirus and some technical issues in the smelter. The ignition ceremony of smelter was held in the Saindak.The Chinese firm #MRDL hopes to produce more than 15000 tons of blister copper this year.  https://t.co/bwnErGKIeg,en,[],[],['https://pbs.twimg.com/media/E5OQYwSXEAU7H8f.jpg'],0,1,8,"['saindakproject', 'mrdl']",[],https://twitter.com/aliraza_rind/status/1410629866865807367,False,,1,https://pbs.twimg.com/media/E5OQYwSXEAU7H8f.jpg,India,,,,,,[],,,,
8,1410623263986753548,1410623263986753548,2021-07-01 21:06:08 India Standard Time,2021-07-01,21:06:08,530,1387625346921467910,jayanta13998620,Jayanta Chatterjee,,Coronavirus: Thailand sees record deaths as first Phuket sandbox tourists arrive  https://t.co/r8pNgn1MQE,en,[],['https://newswav.com/A2107_z3NQLr?s=A_knUw8iw'],[],0,0,0,[],[],https://twitter.com/Jayanta13998620/status/1410623263986753548,False,,0,,India,,,,,,[],,,,
9,1410614872736292875,1410614872736292875,2021-07-01 20:32:48 India Standard Time,2021-07-01,20:32:48,530,969869587,soundirarajanr,soundirarajan,,Coronavirus marriage home marriage small group marriage and low budget cost marriage  https://t.co/0N1L2Z1MS6,en,[],[],"['https://pbs.twimg.com/media/E5OCvKXVUBAsRdq.jpg', 'https://pbs.twimg.com/media/E5OCvXAUUAo3iEk.jpg', 'https://pbs.twimg.com/media/E5OCvlpUUAsXPZQ.jpg', 'https://pbs.twimg.com/media/E5OCvwDVkAYBXAz.jpg']",0,0,0,[],[],https://twitter.com/soundirarajanr/status/1410614872736292875,False,,1,https://pbs.twimg.com/media/E5OCvKXVUBAsRdq.jpg,India,,,,,,[],,,,
