Username,Userhandle,Time,comments,retweets,likes,Tweet
Pooja Mehta,@pooja_news,2021-06-08T08:34:34.000Z,140,888,4.2K,"#HeartWrenching: Dr. Arfa Sajadin, who had tested positive for Covid-19, battled for 10 days on the ventilator after her delivery. She broke down after taking her baby for the first time in her arms. Both mother & the baby are fine & ready to go home thanks to ILS hospital Howrah"
𝐒𝐀𝐍𝐃𝐄𝐄𝐏,@Sandeep06424827,2021-06-24T03:02:01.000Z,2,58,58,"Considering corona pandemic, when several prisoners are released then why No Bail to Innocent Sant Shri Asharamji Bapu suffering from post Covid-19 ill effects ??
We Demand Bail For Asharam Bapu.
Justice For Bapuji
#कबतक_प्रताड़ित_होंगे_संत"
Aishwarja Nath,@AishwarjaNath,2021-06-06T01:47:49.000Z,,,,"N440K in Gujarat: The new super infective virus strain on the block

https://economictimes.indiatimes.com/news/india/n440k-in-gujarat-the-new-super-infective-virus-strain-on-the-block/articleshow/83264558.cms…

 #covid_19 #covidindia #virus
#n440kvirus #BirdFlu #7yearsOfModiMadeDisaster #BJPinfectedEconomy #SaveIndia"
Srijan's Faucet,@Srijans_Faucet,2021-06-09T14:40:21.000Z,,,,"The World Health Organization has revealed a new naming system for COVID-19 variants. 

#COVID19 #covid #Covid19India #COVID19outbreak #StaySafe #stayathome #stayhealthy #WearMaskBeSafe #wearamask #likeforlikes #sanitaryware #bathroomfittings"
V I C K Y @25 DEC,@VickyKu25129877,2021-06-08T18:30:50.000Z,,,,"Let’s fight together against #covid_19 .
Get #vaccinated   today"
Bondhu Chol NGO,@CholNgo,2021-06-21T17:12:17.000Z,,3,6,"@CholNgo
 
#bondhucholngo
#NGO #socialforgood 
To donate contact us
bondhuchol.ngo@gmail.com
#COVID19India #Covid_19 #covid19food #fooddistribution #StayHome #StaySafe #WearMask"
Rupam Art,@ArtRupam,2021-06-01T12:12:27.000Z,,,1,"@SonuSood
 the real life hero.
(Pencil sketch by Rupam Bhattacharya).
#sonu_sood #RupamArt #sketch #painting #drawing #pencil #arts #art #real_life_hero #soft_pastel #Rupam_Art #sonu_sir #coronavirus #covid_19 #India #sonu #o2"
Pooja Mehta,@pooja_news,2021-06-02T13:39:04.000Z,11,59,247,"#Watch| Mamata Banerjee’s nephew & TMC MP from Diamond Harbour Abhishek Banerjee visited BJP leader Mukul Roy’s wife at a Kolkata hospital who continues to remain serious & had tested positive for Covid-19 earlier 
@ZeeNews"
Nature Mates-Nature Club,@NatureMatesNat,2021-06-16T15:58:39.000Z,,,1,"A brief summary of the work we have done in #Sundarbans #postYaas. Incredibly humbled by the support we have received so far.  A simple thank you would not be enough to express our heartfelt gratitude. #Covid_19
#gratitude #CycloneYaas"
ramen aditya,@AdityaRamen,2021-06-09T03:15:28.000Z,,1,1,"The Govt on Tuesday set max price private hospitals can charge for three COVID-19 vaccines available in India. Covishield Rs 780 per dose, Covaxin Rs 1,410 & SputnikV Rs 1,145.
Why cost of the attanirbhar vaccine namely, Covaxin will cost more even when not yet recognised by WHO?"
Avik Saha,@aviksahaindia,2021-06-15T14:34:00.000Z,,6,10,"Central was trying to hide its incompetence and mishandling of the second wave of covid-19 while denying the actual death toll from the pandemic. Narendra Modi - led government has lost it connect with reality and was absolutely aloof. 

#ModiResign 
#Covid_19"
amit rudra,@AmitRudra25,2021-06-06T08:41:42.000Z,1,1,1,"I GOT JABBED!! Finally got my first dose of vaccine . 
Thanks to IndiGo 
#jabbed #covidshield #indigo #kolkata #thanks #covid_19  #vaccinated 
#rudrachillboystyle
https://instagram.com/p/CPxXH0pnErN/?utm_medium=share_sheet…"
t2,@t2telegraph,2021-06-05T08:07:42.000Z,,15,26,"t2 takes a look at two Covid-19 fundraisers that aim to extend a helping hand to those who need it the most

https://bit.ly/3fT7CCz"
Soumyajit Majumder,@SoumyajitWrites,2021-06-02T08:27:31.000Z,4,21,317,"Just In: Former West Bengal CM Buddhadeb Bhattacharjee, who was undergoing treatment for COVID-19, discharged from hospital after recovery"
Pooja Mehta,@pooja_news,2021-06-08T06:37:50.000Z,1,13,94,BJP national vice-president Mukul Roy skips party’s organisational meeting today citing health condition of his wife who had tested positive for Covid-19. Suvendu Adhikari to join the organisational meeting virtually as he is touring Delhi.
Ridzsups,@ridzsups,2021-06-01T08:08:54.000Z,1,,1,One more young life .....covid 19 husband’s colleague from Mumbai #COVID
Avinash Narendra Sharma,@avinashvaani_in,2021-06-11T12:13:23.000Z,,,,Government is gearing up its efforts to fight against the #COVID-19 pandemic. #IndiaFightsCorona https://mygov.in/covid-19/
Shani Singh,@Shanirss,2021-06-18T19:18:56.000Z,,,8,"Athletics Legend 'Flying Sikh' Milkha Ji Singh Passes Away at 91 of Covid-19

#MilkhaSingh"
Anjali Gour,@AnjaliG74946661,2021-06-07T12:22:45.000Z,,,1,"West Bengal government : to decided to cancel the class 10 and 12 examination in view of the covid-19
Me:"
Ankit Singh,@AnkitSi88164767,2021-06-06T12:08:42.000Z,,1,3,"She is a housewife whose husband has lost his job due to the restrictions imposed by the #pandemic #covid_19 .To feed her chldn.& survive,she has started this smallscale business to provide #home-cooked meals at affordable rate in & around #tollygungesouth 
Contact-8240193144"
Raj Saha ,@rajsahaofficial,2021-06-28T15:29:47.000Z,,,1,"COVID-19 restrictions extended in #WestBengal till July 15, 2021. Here is the order below "
Padmanabhan Jaikumar,@p_jaikumar,2021-06-29T05:51:28.000Z,,,,"With over 32.36 crore Covid-19 vaccinations, India overtakes US in total doses administered
https://timesofindia.indiatimes.com/india/with-over-32-36-crore-covid-19-vaccinations-india-overtakes-us-in-total-doses-administered/articleshow/83915682.cms… via NaMo App"
Junior_Scientists_360,@Scientists360,2021-06-07T15:22:19.000Z,,,4,"Mucormycosis - The Post Covid-19 Infection : The most common form of mucormycosis in COVID 19 patients is pulmonary mucormycosis, closely followed by Rhinocerebral mucormycosis. Glucocorticoids and Remdesivir are some of the only drugs that have been beneficial in COVID 19."
Sohail,@Sohail21443372,2021-06-13T03:55:01.000Z,,,,"During this unprecedented time, you may be looking for the most up to date information on COVID-19 in your area.  
Follow and share these pages for the latest live conversation on the ground from doctors, hospital workers, journalists and concerned citizens discussing the latest"
Rana | Please #Vaccinate,@bladeit,2021-06-04T03:19:18.000Z,,8,28,"History will be very kind to all of you you, Decentralized Radical Autonomous Search Team Investigating COVID-19, #DRASTIC Thank you for all the hard work. If the states will not wake up now the blood will be in everyone's hand. #COVID19 
https://drasticresearch.org"
Charlie ,@DasBro124,2021-06-25T13:32:06.000Z,1,1,5,"So #BellBottom Is The First Movie To Relese Afrer Pandemic (Covid 19) This Year...

Excited ..Friends..Theatre 


@akshaykumar
 

#BellBottomOn27July #AkshayKumar  


@Akkian_Jaheen
 
@Akkians_BT
 "
swarup das,@swarupdas80,2021-06-11T08:11:22.000Z,,,,"It was a three weeks  journey covid_19 positive to negative.. those day are very important to our mental health. Because everyone is away from me, only mobile is the necessity friend. Lots of news channel forecast death ratio. In human body everything is control from our mind."
Bhaskar Basu,@bhaskarnews4,2021-06-19T09:40:53.000Z,,,,"@BhallaAjay26
 ,Union Home Secretary wrote a letter to all the states and UT's regarding #Covid-19."
Dipayn Bose,@DipaynB,2021-06-27T18:53:53.000Z,,,,"Baisakhi, 1-year-old, with her older sister standing beside the railway track. Due to COVID-19, their school is closed for a long time. The whole education system of the country has hit badly as online mediums can't be accessible everywhere.

#LumixIndia #S5"
Raj Saha ,@rajsahaofficial,2021-06-02T14:57:42.000Z,,,,"WB COVID-19 Daily Health Bulletin: 2 June 2021.
A detailed snapshot of all relevant details on #COVID19 in WB. Keep checking.
Fresh Cases - 8923
Deaths Reported - 135
Samples Tested - 75161
#BengalFightsCorona"
Oil India Limited,@OilIndiaLimited,2021-06-02T11:53:25.000Z,,4,23,"OIL Hospital, Duliajan arranged for COVID-19 vaccination shots for people with disabilities. About 80 people got their shots at the Rotary Club of Duliajan Vaccination Centre today.
#COVID19 #vaccine #COVID19Vaccination #oilindialtd #oilindia #oilindialimited"
Soumyajit Majumder,@SoumyajitWrites,2021-06-04T16:32:39.000Z,8,26,222,"Kolkata’s daily COVID-19 cases is below 1,000 for the last two days — it’s 899 today, while 2,153 patients recover. Active cases at 6,727. Bengal as whole reports 7,913 new cases and 113 deaths. Recoveries at 16,557. 71k samples tested."
Ujjwal Roy,@ujjwalroy06,2021-06-29T08:30:55.000Z,,1,3,"My_Coverage_Story 
@ANI


COVID-19 vaccination camp organised for empowering sex workers in Kolkata's Sonagachi https://aninews.in/news/national/general-news/covid-19-vaccination-camp-organised-for-empowering-sex-workers-in-kolkatas-sonagachi20210629045356#.YNrZTTAcjZ4.twitter…

https://in.finance.yahoo.com/video/covid-vaccination-camp-organises-empowering-005953554.html…"
𝐒𝐀𝐍𝐃𝐄𝐄𝐏,@Sandeep06424827,2021-06-22T03:07:48.000Z,,,,"Replying to 
@AshramKolkata"
Arpita Chatterjee,@ArpitaCP,2021-06-15T03:30:23.000Z,4,7,109,"Good Morning & A happy Tuesday 

Well...the lockdown in West Bengal has been extended but with less restrictions...but remember the Covid-19 is still here..so be careful & stay safe! 

#HappyTuesday #StaySafe #StayIndoor #SocialDistance #SafetyFirst #CovidRules"
"Dr. A. K. Singh; MD, DM (Endo) ",@singhak_endo,2021-06-04T11:27:23.000Z,16,5,58,"Delighted to be among the top 100 authors from the world contributed something about #Diabetes and #Covid-19 in the company of greats like 
@kamleshkhunti
 
@DanielJDrucker
 
@docanoopmisra
 Very excited to be first and only author having 2 paper in top  papers from the world. "
Reesoom,@ReesoomP,2021-06-08T13:52:15.000Z,,,1,I'm sorry but I'm here for a refund for my father who has lost 3 siblings in less than a year to covid-19. Where do I sign up?
Subinoy Patra,@SubinoyPatra6,2021-06-01T09:12:36.000Z,,1,2,"#IndiaFightsCorona The entire Govt machinery is working under the resolute leadership of PM Modi to secure Indians from the COVID-19 pandemic.* 

*From sensitizing citizens on safety and social distancing measures at the outbreak of pandemic, 
#7YearsOfSeva"
DebasreeBhattacharya,@debashreebhatt2,2021-06-09T06:41:40.000Z,,,5,"Relief @ Sundarban Area Kakdwip Block under South 24 pgs dist, Effected area by Yash cyclone & Covid 19.. 

@debashreebhatt2
 
@PMOIndia
 
@devworld24
 
@DilipGhoshBJP
 
@BJP4India
 
@BJP4Bengal"
Vivek Singh,@VivekVs30,2021-06-28T02:44:46.000Z,,,1,"More than 450 underprivileged beneficiaries were vaccinated at today's Free Covid-19 Vaccination Camp organized by Tillotoma Foundation at Rabindranath Tagore International Institute of Cardiac Sciences.   

@TillotomaF

#CovidVaccine 
#TillotomaFoundation"
@ChayanGanguly,@ChayanGanguly98,2021-06-27T14:51:43.000Z,,,1,"Nearly 500 underprivileged people from Kolkata were vaccinated at today's Free Covid-19 Vaccination Camp organized by 
@TillotomaF
 in partnership with 
@NarayanaHealth
 at RN Tagore Hospital,Kolkata. 
Proud to be a part of the team.
Thanks to Narayana Health for all the support!"
Kaushani Mitra,@KaushaniMitra,2021-06-26T07:11:05.000Z,,,1,"https://youtu.be/sWYKB8TDAlA
Hi!! 
@MamataOfficial
 
@abhishekaitc
 
@FirhadHakim
 
@itspcofficial
 My sincere attempt fighting against Covid 19 following a few simple guidelines. Earnestly request our honorable CM Miss Mamata Banerjee to watch my attempt towards society."
Rivu Sourav Banerjee,@RivuSourav,2021-06-22T03:30:39.000Z,,,5,"Getting #Vaccinated in India 18+ VLOG for COVID-19 || Things To Keep in ... https://youtu.be/CPY9VyFaeiA via 
@YouTube
 …. pls WATCH , i hv given lots of details about the #COVIDVaccination 
.
.
#vaccinated #vaccine #IndiaFightsCorona 
@Thekolkatabuzz"
Sourav Prosad,@SouravProsad1,2021-06-25T09:39:09.000Z,,3,3,"Today is the time when we all should take initiative to stop the spread of COVID-19. 
But what is our government doing – inviting students to appear for exams, regardless of their lives. #NoExamUntilVaccination"
Swapan Kumar Das( kumar_swapan),@SwapanK70679233,2021-06-08T14:09:22.000Z,,,2,"Due to Covid-19 the students are suffering much & they are also in uncertainty regarding their study,exam etc. Govt.must find out a way.Under the situation I want to extend cooperation for learning & acquiring knowledge through our youtube channel 'ice-breaking' fr com. students."
Abhay Gupta,@Abhayknoble,2021-06-22T09:13:17.000Z,,,,"Covid-19
Corona.. 3rd wave
""DELTA PLUS""
Already arrived in three states
"
Arghyadip Datta,@KhubPetuk1,2021-06-17T18:22:20.000Z,,,1,"Denmark VS Belgium ...undoubtedly the best so far in Euro 2020. 

Tournament gaining steam slowly. 

Nice to see fans in theke elements. Hope no spoiler for rest of the tournament. 

Let’s get back to the normal 

#DENBEL #EURO2020 #Covid_19"
ramen aditya,@AdityaRamen,2021-06-14T07:43:26.000Z,,,,"When covid 19's second wave was killing lives of people then oxygen, bed, ventilator & vaccine were missing but the two were proud in expressing that the covid19 is under control.They were busy in exporting vaccines & medicines. But sudden intervention of SC changed the scinario."
Sanjib Kumar Das,@moumiayush,2021-06-03T10:18:33.000Z,,,,"A ‘third wave’ of COVID-19 can’t be predicted for India yet, says top WHO scientist https://gn24.ae/bcba45202f60000
#WHO #BreakTheChain #IndiaCovidCrisis #CoronaSecondWave #Corona #CoronavirusPandemic #CoronavirusVaccine"
